matchId,type,group,round,player1,player2,names1,names2,score1,score2,winner,target,isSeed
MT-1/4-L1,Team,傳統20團體,1/4,單位1,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位1,0,false
MT-1/4-L2,Team,傳統20團體,1/4,單位,單位4,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位4,0,false
MT-1/4-R1,Team,傳統20團體,1/4,單位2,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位2,0,false
MT-1/4-R2,Team,傳統20團體,1/4,單位,單位3,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位3,0,false
MT-1/2-L1,Team,傳統20團體,1/2,單位1,單位4,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位1,1/2,false
MT-1/2-R1,Team,傳統20團體,1/2,單位2,單位3,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位2,3/4,false
MT-Final-1,Team,傳統20團體,Final,單位1,單位2,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位1,1/2,false
MT-Final-2,Team,傳統20團體,Bronze,單位4,單位3,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位3,3/4,false
MT-1/4-L1,Team,傳統30團體,1/4,1,8,team1_1/team1_2/team1_3,team8_1/team8_2/team8_3,1,0,1,0,false
MT-1/4-L2,Team,傳統30團體,1/4,5,4,team5_1/team5_2/team5_3,team4_1/team4_2/team4_3,0,1,4,0,false
MT-1/4-R1,Team,傳統30團體,1/4,2,7,team2_1/team2_2/team2_3,team7_1/team7_2/team7_3,1,0,2,0,false
MT-1/4-R2,Team,傳統30團體,1/4,6,3,team6_1/team6_2/team6_3,team3_1/team3_2/team3_3,0,1,3,0,false
MT-1/2-L1,Team,傳統30團體,1/2,1,4,team1_1/team1_2/team1_3,team4_1/team4_2/team4_3,1,0,1,9/10,false
MT-1/2-R1,Team,傳統30團體,1/2,2,3,team2_1/team2_2/team2_3,team3_1/team3_2/team3_3,1,0,2,11/12,false
MT-Final-1,Team,傳統30團體,Final,1,2,team1_1/team1_2/team1_3,team2_1/team2_2/team2_3,1,0,1,9/10,false
MT-Final-2,Team,傳統30團體,Bronze,4,3,team4_1/team4_1/team4_3,team3_1/team3_1/team3_3,0,1,3,11/12,false
MT-1/4-L1,Team,反曲30團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,0,false
MT-1/4-L2,Team,反曲30團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位,0,false
MT-1/4-R1,Team,反曲30團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,0,false
MT-1/4-R2,Team,反曲30團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位,0,false
MT-1/2-L1,Team,反曲30團體,1/2,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,13/14,false
MT-1/2-R1,Team,反曲30團體,1/2,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,15/16,false
MT-Final-1,Team,反曲30團體,Final,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,13/14,false
MT-Final-2,Team,反曲30團體,Bronze,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位,15/16,false
MT-1/4-L1,Team,反曲70團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,,false
MT-1/4-L2,Team,反曲70團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位,,false
MT-1/4-R1,Team,反曲70團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,0,false
MT-1/4-R2,Team,反曲70團體,1/4,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位,0,false
MT-1/2-L1,Team,反曲70團體,1/2,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,21/22,false
MT-1/2-R1,Team,反曲70團體,1/2,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,23/24,false
MT-Final-1,Team,反曲70團體,Final,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,1,0,單位,21/22,false
MT-Final-2,Team,反曲70團體,Bronze,單位,單位,姓名/姓名/姓名,姓名/姓名/姓名,0,1,單位,23/24,false
